time,signal
1.20451E-08,0.045788046
1.20551E-08,0.045624807
1.20651E-08,0.04546215
1.20751E-08,0.045300074
1.20851E-08,0.045138575
1.20951E-08,0.04497765
1.21051E-08,0.044817302
1.21151E-08,0.044657525
1.21251E-08,0.044498317
1.21351E-08,0.044339675
1.21451E-08,0.0441816
1.21551E-08,0.044024087
1.21651E-08,0.043867141
1.21751E-08,0.04371075
1.21851E-08,0.043554917
1.21951E-08,0.043399639
1.22051E-08,0.043244917
1.22151E-08,0.043090742
1.22251E-08,0.042937122
1.22351E-08,0.042784046
1.22451E-08,0.042631518
1.22551E-08,0.042479534
1.22651E-08,0.042328089
1.22751E-08,0.042177185
1.22851E-08,0.042026822
1.22951E-08,0.04187699
1.23051E-08,0.041727696
1.23151E-08,0.041578934
1.23251E-08,0.041430701
1.23351E-08,0.041282997
1.23451E-08,0.041135818
1.23551E-08,0.040989164
1.23651E-08,0.040843036
1.23751E-08,0.040697426
1.23851E-08,0.040552337
1.23951E-08,0.040407762
1.24051E-08,0.040263705
1.24151E-08,0.040120162
1.24251E-08,0.03997713
1.24351E-08,0.039834607
1.24451E-08,0.039692596
1.24551E-08,0.039551087
1.24651E-08,0.039410084
1.24751E-08,0.039269581
1.24851E-08,0.039129585
1.24951E-08,0.038990084
1.25051E-08,0.038851079
1.25151E-08,0.038712572
1.25251E-08,0.038574558
1.25351E-08,0.038437039
1.25451E-08,0.038300004
1.25551E-08,0.038163461
1.25651E-08,0.038027406
1.25751E-08,0.037891835
1.25851E-08,0.037756748
1.25951E-08,0.037622143
1.26051E-08,0.037488014
1.26151E-08,0.037354369
1.26251E-08,0.037221197
1.26351E-08,0.037088498
1.26451E-08,0.036956273
1.26551E-08,0.036824521
1.26651E-08,0.036693238
1.26751E-08,0.036562424
1.26851E-08,0.036432076
1.26951E-08,0.036302194
1.27051E-08,0.036172774
1.27151E-08,0.036043812
1.27251E-08,0.035915315
1.27351E-08,0.035787273
1.27451E-08,0.035659686
1.27551E-08,0.035532556
1.27651E-08,0.035405882
1.27751E-08,0.035279654
1.27851E-08,0.035153881
1.27951E-08,0.035028554
1.28051E-08,0.034903675
1.28151E-08,0.034779239
1.28251E-08,0.034655247
1.28351E-08,0.034531698
1.28451E-08,0.034408592
1.28551E-08,0.034285922
1.28651E-08,0.034163687
1.28751E-08,0.034041893
1.28851E-08,0.03392053
1.28951E-08,0.0337996
1.29051E-08,0.033679102
1.29151E-08,0.033559032
1.29251E-08,0.03343939
1.29351E-08,0.033320177
1.29451E-08,0.033201389
1.29551E-08,0.033083022
1.29651E-08,0.032965079
