Point,Corner,VINCM,temperature,c018hv32v.scs,c018hv32v.scs:1,c018hv32v.scs:2,c018hv32v.scs:3,c018hv32v.scs:4,c018hv32v.scs:5,c018hv32v.scs:6,c018hv32v.scs:7,c018hv32v.scs:8,c018hv32v.scs:9,c018hv32v.scs:10,c018hv32v.scs:11,c018hv32v.scs:12,c018hv32v.scs:13,Pass/Fail,ac_mag,ac_phase,acVal_Av,acVal_f3dB,acVal_Av0,acVal_Av1,acVal_Av2,dcVal_voutCM0,dcVal_voutCM1,dcVal_voutCM2,dcVal_voutCM3,dcVal_voutCM4,dcVal_voutCM
5,ff_LoT,900e-3,-55,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,pass,,,422.5,27.56e6,2.242,2.751,2.857,274e-3,652.1e-3,564.9e-3,615.8e-3,590.7e-3,604.7e-3
3,sf_MidT,700e-3,27,dio,dio_5,ss_bip_npn,sf_hvs_lg,sf_hvs,sf_5,ss_res,sf,ss_mim,ss_bip,sf_hva,sf_hvi_lg,sf_hvi,sf_hva_lg,pass,,,443.1,22.35e6,2.731,2.789,2.735,597e-3,696.5e-3,600.9e-3,693.4e-3,604.4e-3,690.6e-3
2,sf_MidT,600e-3,27,dio,dio_5,ss_bip_npn,sf_hvs_lg,sf_hvs,sf_5,ss_res,sf,ss_mim,ss_bip,sf_hva,sf_hvi_lg,sf_hvi,sf_hva_lg,pass,,,445.5,22.35e6,2.788,2.737,2.788,694.1e-3,603.5e-3,691.3e-3,606.7e-3,688.7e-3,609.5e-3
4,tt_LoT,800e-3,-55,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,pass,,,455.9,23.21e6,2.476,2.92,2.653,355.9e-3,748.2e-3,430e-3,733.2e-3,451e-3,726.3e-3
4,ff_LoT,800e-3,-55,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,pass,,,506.2,27.55e6,2.603,2.832,2.863,405.7e-3,644.3e-3,571.1e-3,613.4e-3,592.2e-3,603.9e-3
3,ff_LoT,700e-3,-55,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,pass,,,556.9,27.55e6,2.806,2.88,2.872,521.5e-3,628.7e-3,582.4e-3,608.6e-3,595.1e-3,602.5e-3
1,tt_LoT,500e-3,-55,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,pass,,,560.9,23.14e6,2.986,2.772,2.985,703.2e-3,492.4e-3,707.5e-3,486.5e-3,710.7e-3,482.2e-3
3,tt_LoT,700e-3,-55,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,pass,,,564.3,23.14e6,2.78,2.985,2.768,496.7e-3,705.1e-3,489.8e-3,708.9e-3,484.6e-3,711.7e-3
1,ff_LoT,500e-3,-55,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,pass,,,570.2,27.62e6,2.874,2.87,2.887,633e-3,579.3e-3,610e-3,594.3e-3,602.9e-3,598.3e-3
2,ff_LoT,600e-3,-55,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,pass,,,574.6,27.58e6,2.883,2.883,2.883,599.9e-3,600e-3,599.9e-3,599.9e-3,599.9e-3,599.9e-3
